player,team,GP,TOI,TOI_Perc,game_strength,Pos,last_team,all_teams,last_update
A.J. GREER,FLA,9,75.25,0.13935185185185187,AS,F,FLA,FLA,2025-10-23 22:55:48
A.J. GREER,FLA,9,75.05000000000001,0.14236934458882675,AS_Without_EN,F,FLA,FLA,2025-10-23 22:55:48
A.J. GREER,FLA,9,72.5,0.17180094786729858,EV,F,FLA,FLA,2025-10-23 22:55:48
A.J. GREER,FLA,9,0.2833333333333333,0.007877664504170528,PP,F,FLA,FLA,2025-10-23 22:55:48
A.J. GREER,FLA,9,2.2666666666666666,0.13613613613613615,SH,F,FLA,FLA,2025-10-23 22:55:48
A.J. GREER,FLA,9,72.5,0.1749587740819692,5v5,F,FLA,FLA,2025-10-23 22:55:48
GUSTAV FORSLING,FLA,9,201.81666666666666,0.37373456790123455,AS,D,FLA,FLA,2025-10-23 22:55:48
GUSTAV FORSLING,FLA,9,199.0,0.3775016598691075,AS_Without_EN,D,FLA,FLA,2025-10-23 22:55:48
GUSTAV FORSLING,FLA,9,166.9,0.39549763033175356,EV,D,FLA,FLA,2025-10-23 22:55:48
GUSTAV FORSLING,FLA,9,2.166666666666667,0.042525351651946354,PP,D,FLA,FLA,2025-10-23 22:55:48
GUSTAV FORSLING,FLA,9,29.933333333333334,0.6569129480614484,SH,D,FLA,FLA,2025-10-23 22:55:48
GUSTAV FORSLING,FLA,9,163.03333333333333,0.39343602944133854,5v5,D,FLA,FLA,2025-10-23 22:55:48
LUKE KUNIN,FLA,9,96.0,0.17777777777777778,AS,F,FLA,FLA,2025-10-23 22:55:48
LUKE KUNIN,FLA,9,95.79999999999998,0.18173195485156024,AS_Without_EN,F,FLA,FLA,2025-10-23 22:55:48
LUKE KUNIN,FLA,9,70.81666666666666,0.1678120063191153,EV,F,FLA,FLA,2025-10-23 22:55:48
LUKE KUNIN,FLA,9,0.6666666666666666,0.024009603841536616,PP,F,FLA,FLA,2025-10-23 22:55:48
LUKE KUNIN,FLA,9,24.316666666666663,0.5615858352578906,SH,F,FLA,FLA,2025-10-23 22:55:48
LUKE KUNIN,FLA,9,70.76666666666667,0.1707758516671359,5v5,F,FLA,FLA,2025-10-23 22:55:48
LANE HUTSON,MTL,9,201.68333333333334,0.36711971360961104,AS,D,MTL,MTL,2025-10-23 22:55:48
LANE HUTSON,MTL,9,196.81666666666666,0.3658755731813112,AS_Without_EN,D,MTL,MTL,2025-10-23 22:55:48
